Area,Locality,Age,Crime ratio,Nitrogen/CO2 percentage,Adult to Children ratio,Earthquake zone,Government projects,Natural calamities,Rental / Monthly commercial income,ROI,Trend of property cost,Reputation of property developer,Current pricing,Scalable property
5555,Hamlet E,27,0.75,39.7,3.93,High risk zone,Expansion of public transportation system,FALSE,6756.32,96.39,Increasing,Terrible,807979.84,TRUE
8658,Rural Area G,2,0.12,55.78,7.55,Moderate risk zone,Construction of new schools,TRUE,2507.69,45.39,Decreasing,Terrible,942713.81,FALSE
3489,Suburb D,31,0.13,71.13,3.69,Moderate risk zone,Construction of new schools,TRUE,3714.1,39.35,Decreasing,Poor,376707.56,FALSE
2372,Countryside I,11,0.65,89.56,1.99,High risk zone,Construction of new schools,TRUE,7520.81,88.79,Stable,Good,57879.18,FALSE
3479,Countryside I,15,0.26,61.9,6.73,Moderate risk zone,Renovation of public parks,TRUE,9071.94,11.64,Increasing,Terrible,516899.34,TRUE
3758,City A,14,0.72,16.27,3.56,High risk zone,Expansion of public transportation system,TRUE,6224.96,82.42,Increasing,Excellent,471423.64,FALSE
6944,Village C,33,0.91,53.52,9.27,Low risk zone,Construction of new schools,TRUE,3276.25,28.46,Stable,Average,529730.48,TRUE
4457,Neighborhood F,41,0.83,29.86,1.17,Moderate risk zone,Renovation of public parks,TRUE,2721.51,34.54,Decreasing,Poor,30931.38,FALSE
2762,City A,27,0.73,36.51,3.33,Moderate risk zone,Renovation of public parks,FALSE,1314.18,15.06,Stable,Good,352094.35,TRUE
9416,Neighborhood F,4,0.53,93.98,5.11,Moderate risk zone,Infrastructure development in rural areas,TRUE,5719.46,40.94,Decreasing,Average,179172.07,TRUE
4478,Coastal Area J,18,0.96,55.1,3.92,Moderate risk zone,Construction of new schools,FALSE,2259.53,64.49,Stable,Average,541889.6,TRUE
9759,City A,22,0.49,29.95,4.47,Low risk zone,Construction of new schools,FALSE,1674.43,42.47,Stable,Excellent,194048.41,TRUE
7060,Rural Area G,15,0.6,65.41,5.85,High risk zone,Construction of new schools,TRUE,2493.9,65.89,Decreasing,Average,964937.42,FALSE
3424,Neighborhood F,18,0.67,78.2,5.01,Low risk zone,Renovation of public parks,FALSE,7338.45,90.18,Decreasing,Excellent,96050.25,FALSE
3656,City A,13,0.51,16.44,7.11,High risk zone,Construction of new schools,TRUE,2688.52,6.1,Decreasing,Poor,849432.83,TRUE
6419,Hamlet E,10,0.32,68.76,5.03,High risk zone,Renovation of public parks,TRUE,6361.02,1.85,Stable,Terrible,293097.18,TRUE
6424,City A,7,0.75,65.16,1.29,Moderate risk zone,Expansion of public transportation system,TRUE,8579.52,7.79,Stable,Poor,679261.59,TRUE
9852,Neighborhood F,11,0.03,6.18,7.46,Low risk zone,Construction of new schools,FALSE,1928.59,23.88,Stable,Average,485440.96,FALSE
2375,Countryside I,31,0.49,69.86,3.46,High risk zone,Renovation of public parks,FALSE,6567.92,49.43,Decreasing,Average,276958.43,FALSE
2344,Neighborhood F,28,0.45,43.65,1.28,Low risk zone,Expansion of public transportation system,TRUE,6715.08,10.93,Decreasing,Terrible,839931.58,FALSE
9999,Town B,19,0.54,25.36,0.91,High risk zone,Infrastructure development in rural areas,TRUE,8119.83,76.94,Increasing,Average,243521.9,TRUE
9866,Rural Area G,1,0.52,38.97,8.63,Low risk zone,Construction of new schools,FALSE,7879.39,69.65,Stable,Excellent,375701.98,TRUE
5372,Urban Area H,33,0.9,49.93,7.35,Moderate risk zone,Construction of new schools,TRUE,5927.02,92.28,Increasing,Terrible,168287,TRUE
1417,Village C,10,0.36,81.44,6.28,High risk zone,Renovation of public parks,FALSE,1598.51,85.16,Increasing,Excellent,232114.18,FALSE
9822,Village C,25,0.63,25.75,5.42,High risk zone,Renovation of public parks,FALSE,4565.59,63.72,Stable,Good,836845.32,FALSE
8869,Coastal Area J,41,0.78,13.99,4.8,High risk zone,Construction of new schools,TRUE,4817.69,15.63,Stable,Good,826818.01,TRUE
1776,Countryside I,27,0.11,65.76,2.16,Moderate risk zone,Renovation of public parks,TRUE,7092.57,6.12,Stable,Good,642206.96,FALSE
1364,Rural Area G,14,0.46,46.85,5.01,Low risk zone,Construction of new schools,FALSE,6010.26,5.7,Increasing,Poor,689390.94,FALSE
5783,Suburb D,20,0.8,69.13,7.41,High risk zone,Infrastructure development in rural areas,TRUE,3616,23.35,Stable,Poor,613971.32,FALSE
6883,Hamlet E,19,0.97,65.86,4.3,Low risk zone,Infrastructure development in rural areas,TRUE,2476.93,98.69,Stable,Excellent,870312.66,FALSE
7317,Rural Area G,12,0.79,91.85,1.22,Low risk zone,Infrastructure development in rural areas,FALSE,1923.57,75.66,Increasing,Terrible,322514.86,TRUE
5561,Town B,48,0.55,3.49,5.09,High risk zone,Expansion of public transportation system,FALSE,1395.46,6.13,Decreasing,Poor,774089.24,FALSE
3952,Neighborhood F,24,0.04,97.25,2.49,Moderate risk zone,Expansion of public transportation system,TRUE,7521.51,84.37,Stable,Excellent,486780.53,FALSE
1289,Countryside I,47,0.88,95.87,0.04,High risk zone,Renovation of public parks,TRUE,2200.49,85.84,Stable,Poor,201485.48,FALSE
8484,Neighborhood F,16,0.29,89.76,0.7,Moderate risk zone,Renovation of public parks,FALSE,5742.59,66,Decreasing,Excellent,64844.62,TRUE
2896,Hamlet E,16,0.76,31.02,9.7,Low risk zone,Construction of new schools,FALSE,5052.32,12.88,Decreasing,Average,76442.28,TRUE
3056,Urban Area H,30,0.79,51.16,5.37,High risk zone,Construction of new schools,FALSE,7799.01,39.07,Stable,Good,253775.18,FALSE
3573,Urban Area H,15,0.38,78.83,9.67,High risk zone,Renovation of public parks,TRUE,9082.03,49.69,Stable,Good,457818.79,FALSE
2741,Urban Area H,41,0.4,90.03,8.75,Moderate risk zone,Construction of new schools,TRUE,1090.17,39.14,Stable,Good,96065.93,FALSE
9648,Village C,50,0.49,83.98,9.13,Low risk zone,Infrastructure development in rural areas,FALSE,5511.68,14.02,Stable,Good,842688.42,TRUE
8480,Hamlet E,38,0.49,14.52,5.01,Low risk zone,Construction of new schools,FALSE,1352.48,19.36,Stable,Terrible,160573.42,TRUE
8579,Countryside I,33,0.06,64.63,8.51,Moderate risk zone,Infrastructure development in rural areas,TRUE,9960.35,52.61,Decreasing,Excellent,131020.73,TRUE
7931,Suburb D,31,0.54,93.41,4.88,High risk zone,Renovation of public parks,FALSE,2968.32,47.65,Increasing,Average,390114.11,FALSE
3989,Hamlet E,9,0.77,75.01,7.32,Moderate risk zone,Construction of new schools,TRUE,7116.73,90.04,Stable,Good,365365.4,TRUE
5825,Town B,19,0.03,32.07,7.68,Moderate risk zone,Renovation of public parks,FALSE,438.71,24.8,Increasing,Average,454006.45,FALSE
3864,Hamlet E,13,0.83,34.08,6.4,Moderate risk zone,Construction of new schools,TRUE,8132.13,80.2,Stable,Excellent,19115.34,FALSE
7739,Rural Area G,9,0.99,21.46,5.65,High risk zone,Infrastructure development in rural areas,TRUE,7462.19,77.58,Decreasing,Excellent,597380.54,TRUE
6440,Countryside I,11,0.18,29.63,5.99,High risk zone,Infrastructure development in rural areas,FALSE,7195.67,98.07,Decreasing,Terrible,160456.97,TRUE
1719,Hamlet E,23,0.61,71.75,6.82,Low risk zone,Infrastructure development in rural areas,FALSE,6954.04,12.43,Decreasing,Terrible,559993.4,TRUE
9395,Town B,22,0.94,21.55,3.81,Low risk zone,Construction of new schools,TRUE,5921.72,60.85,Stable,Average,848417.65,FALSE
9842,Urban Area H,41,0.28,76.13,6.74,Moderate risk zone,Infrastructure development in rural areas,TRUE,2855.05,9.81,Decreasing,Terrible,276107.23,FALSE
6573,Coastal Area J,16,0.22,7.21,1.68,Moderate risk zone,Expansion of public transportation system,TRUE,1106.57,59.44,Stable,Poor,78424.87,TRUE
5682,City A,48,0.7,83.41,8.38,Low risk zone,Renovation of public parks,TRUE,9200.24,85.65,Stable,Poor,64637.16,FALSE
7228,Town B,26,0.86,43.03,7.01,Low risk zone,Expansion of public transportation system,FALSE,8150.74,56.73,Increasing,Good,981258.48,TRUE
5953,Village C,10,0.36,48.33,0.96,Moderate risk zone,Renovation of public parks,TRUE,957.75,60.88,Increasing,Average,836773.98,TRUE
2935,Town B,1,0.73,19.46,4.33,High risk zone,Expansion of public transportation system,TRUE,7915.97,32.5,Decreasing,Average,35031.47,TRUE
6712,Hamlet E,37,0.24,68.81,6.88,Low risk zone,Infrastructure development in rural areas,FALSE,1058.38,4.02,Increasing,Poor,918800.98,FALSE
5023,City A,23,0.55,70.35,0.16,Moderate risk zone,Construction of new schools,TRUE,1200.57,86.03,Decreasing,Excellent,710363.44,FALSE
5277,Urban Area H,28,0.46,18.88,5.25,Moderate risk zone,Infrastructure development in rural areas,FALSE,3095.41,28.8,Stable,Good,568435.41,TRUE
1162,City A,7,0.21,84.88,0.33,High risk zone,Construction of new schools,TRUE,8409.97,27.27,Increasing,Average,813508,FALSE
5886,Hamlet E,23,0.63,79.84,6.49,High risk zone,Construction of new schools,FALSE,2065.85,54.23,Increasing,Good,246815.22,TRUE
2827,Village C,43,0.63,42.76,6.27,Moderate risk zone,Construction of new schools,TRUE,3647.14,90.69,Stable,Terrible,202089.54,TRUE
8776,Hamlet E,14,0.07,80.94,0.38,High risk zone,Expansion of public transportation system,FALSE,466.65,61.38,Stable,Good,159832.78,TRUE
3693,Town B,49,0.05,40.22,8.24,Low risk zone,Infrastructure development in rural areas,FALSE,1780.7,31.74,Increasing,Poor,805270.99,TRUE
4256,City A,20,0.86,85.21,3.89,Low risk zone,Renovation of public parks,TRUE,3314.38,95.5,Increasing,Good,203577.84,TRUE
6031,Neighborhood F,5,0.85,27.11,0.79,Moderate risk zone,Infrastructure development in rural areas,TRUE,1039.42,9.12,Increasing,Terrible,641474.89,FALSE
8051,Village C,43,0.27,50.23,5.62,Moderate risk zone,Infrastructure development in rural areas,TRUE,2992.78,9.21,Decreasing,Poor,85400.34,FALSE
1122,Countryside I,35,0.2,60.08,6.63,Low risk zone,Construction of new schools,TRUE,9800.13,50.35,Increasing,Terrible,30908.82,TRUE
3444,Coastal Area J,13,0.54,48.99,4.11,High risk zone,Renovation of public parks,TRUE,2342.15,39.27,Decreasing,Excellent,896717.78,TRUE
2522,Hamlet E,25,0.95,3.64,2.74,High risk zone,Construction of new schools,FALSE,951.96,89.72,Increasing,Terrible,205556.9,TRUE
9366,Town B,19,0.4,66.06,2.12,High risk zone,Infrastructure development in rural areas,FALSE,6354.58,15.48,Decreasing,Good,108435.41,TRUE
2768,Suburb D,3,0.54,99.63,1.53,High risk zone,Construction of new schools,FALSE,1756.26,92.88,Increasing,Excellent,758847.1,FALSE
4872,Village C,15,0.67,38.46,8.02,Moderate risk zone,Renovation of public parks,FALSE,7325.34,12.44,Increasing,Excellent,562548.97,TRUE
4803,Neighborhood F,12,0.71,56.36,8.08,Moderate risk zone,Construction of new schools,FALSE,1578.57,61.06,Decreasing,Excellent,897257.68,TRUE
6409,Urban Area H,47,0.34,41.75,1.67,Moderate risk zone,Renovation of public parks,TRUE,6674.07,25.57,Decreasing,Terrible,976835.51,TRUE
2835,Hamlet E,5,0.81,22.25,5.38,Moderate risk zone,Infrastructure development in rural areas,FALSE,9833.61,78.23,Increasing,Terrible,652699.08,TRUE
9737,Town B,29,0.89,20.5,4.58,High risk zone,Infrastructure development in rural areas,FALSE,7314.26,44.2,Stable,Good,688831.48,FALSE
9841,Hamlet E,45,0.78,22.76,1.37,Moderate risk zone,Infrastructure development in rural areas,TRUE,5976.26,25.76,Increasing,Excellent,87172.66,TRUE
3253,Suburb D,12,0.47,31.49,4.78,Moderate risk zone,Construction of new schools,FALSE,2565.22,17.93,Decreasing,Terrible,164303.18,TRUE
7556,Neighborhood F,21,0.85,47.89,3.59,Moderate risk zone,Construction of new schools,FALSE,2855.23,65.08,Increasing,Average,681191,TRUE
4183,Coastal Area J,3,0.61,26.34,7.19,Low risk zone,Infrastructure development in rural areas,FALSE,9187.28,2.39,Stable,Poor,86914.46,TRUE
3844,City A,7,0.72,4.32,8.43,Low risk zone,Infrastructure development in rural areas,FALSE,3680.99,66.14,Increasing,Good,133984.9,TRUE
1433,Neighborhood F,3,0.37,65.82,9.97,High risk zone,Infrastructure development in rural areas,TRUE,4063.8,23.78,Increasing,Excellent,953067.43,FALSE
9817,Coastal Area J,32,0.24,33.05,0.43,Moderate risk zone,Infrastructure development in rural areas,FALSE,5.11,7.23,Decreasing,Terrible,654823.85,FALSE
1773,Hamlet E,44,0.79,13.16,7.72,Low risk zone,Renovation of public parks,TRUE,2907.76,3.01,Increasing,Poor,820344.62,FALSE
8868,Countryside I,45,0.81,84.47,3.27,High risk zone,Expansion of public transportation system,FALSE,9714.66,98.25,Increasing,Poor,291696.91,FALSE
5806,Town B,50,0.06,81.42,4.11,High risk zone,Expansion of public transportation system,FALSE,3838.75,60.03,Increasing,Excellent,905832.54,TRUE
4461,Coastal Area J,8,0.56,78.73,5.14,Moderate risk zone,Construction of new schools,TRUE,580.46,88.67,Stable,Good,980229.88,FALSE
6321,Town B,19,0.31,81.55,2.4,High risk zone,Renovation of public parks,TRUE,7496.56,31.06,Increasing,Excellent,845243.09,FALSE
4643,Suburb D,40,0.58,16.35,1.18,Moderate risk zone,Construction of new schools,FALSE,5961.42,18.15,Decreasing,Excellent,311250.99,TRUE
7870,City A,38,0.28,23.31,8.66,High risk zone,Renovation of public parks,TRUE,1390.77,9.44,Decreasing,Average,209135.14,FALSE
9775,Rural Area G,2,0.65,1.42,0.7,Moderate risk zone,Renovation of public parks,FALSE,8082.49,54.65,Stable,Terrible,993394.21,FALSE
5688,Urban Area H,22,0.99,17.19,9.94,Moderate risk zone,Expansion of public transportation system,TRUE,9207.86,6.08,Stable,Poor,275552.18,FALSE
1751,Neighborhood F,49,0.96,38.65,0.21,High risk zone,Construction of new schools,FALSE,2607.86,21.31,Decreasing,Good,299200.98,FALSE
3916,Neighborhood F,32,0.79,47.36,0.62,Moderate risk zone,Infrastructure development in rural areas,FALSE,8011.85,68.47,Decreasing,Poor,486032.66,FALSE
8149,Village C,14,0.87,10.15,7.45,High risk zone,Renovation of public parks,FALSE,20.92,2.53,Stable,Excellent,983081.43,TRUE
2881,Coastal Area J,44,0.75,40.25,8.98,High risk zone,Infrastructure development in rural areas,TRUE,7325.75,61.73,Stable,Average,733027.97,FALSE
2510,Countryside I,50,0.41,11.11,5.12,High risk zone,Renovation of public parks,FALSE,9514.65,50.81,Decreasing,Terrible,267186.85,FALSE
3220,Countryside I,17,0.53,98.38,1.14,Moderate risk zone,Renovation of public parks,FALSE,203.66,26.08,Decreasing,Average,750002.11,FALSE
4323,Coastal Area J,41,0.71,31.1,2.57,Moderate risk zone,Expansion of public transportation system,TRUE,9600.75,22.31,Increasing,Excellent,916455.99,TRUE
3527,Neighborhood F,41,0.97,88.97,5.76,Low risk zone,Infrastructure development in rural areas,TRUE,83.65,51.6,Stable,Poor,512481.75,FALSE
4005,Countryside I,6,0.76,83.73,3.82,Low risk zone,Construction of new schools,TRUE,7405.8,2.38,Stable,Terrible,732935.56,TRUE
9839,Village C,23,0.47,16.08,8.84,Moderate risk zone,Expansion of public transportation system,FALSE,42.62,18.59,Stable,Excellent,162910.58,TRUE
1415,Village C,20,0.61,16.03,6.93,Moderate risk zone,Expansion of public transportation system,TRUE,8842.54,53.11,Increasing,Poor,714709.62,TRUE
5408,Hamlet E,28,0.12,87.72,9.31,High risk zone,Infrastructure development in rural areas,FALSE,2246.61,73.27,Increasing,Good,72557.4,FALSE
1550,Urban Area H,14,0.65,18.5,3.53,High risk zone,Expansion of public transportation system,FALSE,5080.95,12.3,Decreasing,Excellent,846828.7,FALSE
5363,Coastal Area J,32,0.97,45.73,8.94,Moderate risk zone,Renovation of public parks,FALSE,1246.33,5.02,Stable,Average,659263.03,TRUE
3747,Hamlet E,2,0.44,99.39,8.85,Low risk zone,Expansion of public transportation system,FALSE,3326.13,10.36,Stable,Good,387431.68,FALSE
9650,Neighborhood F,4,0.79,39.08,2.87,Moderate risk zone,Construction of new schools,FALSE,2.3,83.72,Increasing,Poor,326441.25,FALSE
3843,Countryside I,9,0.41,69.19,1.53,High risk zone,Construction of new schools,FALSE,3849.03,67.59,Stable,Poor,579403.9,TRUE
1010,Village C,33,0.55,12.27,3.28,High risk zone,Construction of new schools,TRUE,5911.61,71.98,Stable,Average,180227.19,TRUE
6198,Suburb D,15,0.64,91.33,0.17,Low risk zone,Construction of new schools,TRUE,2670.1,22.79,Increasing,Average,434703.3,TRUE
6295,Neighborhood F,24,0.67,37.85,6.49,Moderate risk zone,Expansion of public transportation system,FALSE,428.54,2.38,Stable,Terrible,651879.77,FALSE
8405,Countryside I,44,0.72,36.24,0.92,High risk zone,Expansion of public transportation system,TRUE,9720.99,47.05,Stable,Excellent,503233.25,FALSE
2113,Rural Area G,3,0.73,23.99,7.98,High risk zone,Infrastructure development in rural areas,TRUE,5098.21,50.29,Increasing,Good,655100.17,FALSE
8757,Neighborhood F,40,0.84,18.85,3.83,High risk zone,Infrastructure development in rural areas,TRUE,4021.49,24.9,Stable,Good,780418.37,FALSE
9252,Coastal Area J,34,0.3,61.03,0.08,Moderate risk zone,Renovation of public parks,TRUE,7005.41,84.89,Stable,Poor,835997.02,FALSE
8957,Hamlet E,12,0.94,51.86,0,Moderate risk zone,Infrastructure development in rural areas,TRUE,7190.21,91.13,Stable,Average,269942.2,FALSE
4925,Neighborhood F,12,0.17,11.15,0.83,Low risk zone,Renovation of public parks,TRUE,5707.9,71.02,Decreasing,Average,953162.99,TRUE
3779,Countryside I,27,0.7,60.21,7.63,Moderate risk zone,Expansion of public transportation system,FALSE,5273.14,51.7,Stable,Excellent,183381.08,FALSE
3147,Suburb D,37,0.43,18.02,7.33,Moderate risk zone,Expansion of public transportation system,FALSE,2864.53,20.55,Stable,Terrible,814296.15,FALSE
4741,Neighborhood F,28,0.03,88.56,9.46,Moderate risk zone,Infrastructure development in rural areas,FALSE,2674.62,58.13,Decreasing,Average,575502,FALSE
7563,City A,38,0.16,35.23,1.46,Moderate risk zone,Infrastructure development in rural areas,TRUE,2437.24,24.67,Decreasing,Excellent,92187.06,FALSE
7624,Neighborhood F,38,0.4,36.39,3.24,Moderate risk zone,Renovation of public parks,TRUE,8662.52,12.15,Decreasing,Excellent,61070.32,FALSE
8276,Suburb D,16,0.98,60.09,4.32,Moderate risk zone,Expansion of public transportation system,TRUE,550.4,99.44,Increasing,Average,737862.58,TRUE
8553,Urban Area H,39,0.83,66.83,5.38,Low risk zone,Renovation of public parks,FALSE,9344.36,3.89,Stable,Good,272671.69,TRUE
5362,Village C,11,0.75,12.9,9.05,High risk zone,Construction of new schools,FALSE,1867.24,26.04,Stable,Poor,753989.21,TRUE
9398,Village C,9,0.96,85,6.67,Low risk zone,Renovation of public parks,FALSE,7173.11,37.06,Stable,Good,620578.01,FALSE
1502,Suburb D,32,0.2,2.79,9.31,Low risk zone,Renovation of public parks,TRUE,8777.76,99.53,Increasing,Good,496969.29,TRUE
4264,Coastal Area J,36,0.81,14.03,5.67,High risk zone,Infrastructure development in rural areas,TRUE,3401.54,47.36,Decreasing,Good,509586.33,TRUE
8898,Town B,22,0.95,9.79,1.21,Low risk zone,Expansion of public transportation system,FALSE,4264.03,68.85,Stable,Excellent,344698.24,FALSE
6786,Village C,28,0.19,10.67,9.54,Low risk zone,Construction of new schools,TRUE,7937.87,81.19,Decreasing,Good,369619.84,FALSE
1985,Coastal Area J,7,0.41,80.9,9,High risk zone,Renovation of public parks,TRUE,3704.21,97.42,Stable,Excellent,180271.34,TRUE
1260,Urban Area H,12,0.32,11.96,7.58,High risk zone,Renovation of public parks,FALSE,2171.1,50.51,Decreasing,Good,257711.23,TRUE
2541,Village C,49,0.5,36.72,9.86,High risk zone,Expansion of public transportation system,TRUE,4976.47,99.72,Stable,Excellent,144023.53,TRUE
1885,Village C,21,0.54,81.07,9.75,High risk zone,Expansion of public transportation system,TRUE,7077.78,14.62,Increasing,Average,29234.34,FALSE
7928,Town B,23,0.75,37.61,0.32,Moderate risk zone,Renovation of public parks,TRUE,7111.12,22.99,Decreasing,Excellent,801353.18,FALSE
2001,Village C,8,0.43,18.01,6.14,High risk zone,Infrastructure development in rural areas,TRUE,8386.86,73.64,Stable,Good,575606.38,FALSE
7675,Coastal Area J,27,0.98,52.43,1.05,High risk zone,Construction of new schools,FALSE,7928.86,2.39,Stable,Average,377690.07,TRUE
9477,Rural Area G,23,0.3,42.88,5.77,Low risk zone,Infrastructure development in rural areas,FALSE,9423.33,97.35,Decreasing,Poor,968127.46,TRUE
7179,Town B,20,0.65,94.2,0.44,Low risk zone,Renovation of public parks,FALSE,1460.08,72.12,Stable,Terrible,845782.14,FALSE
6168,Suburb D,21,0.13,51.7,4.94,Moderate risk zone,Construction of new schools,FALSE,4241.78,76.14,Increasing,Terrible,863937.63,FALSE
5995,City A,37,0.4,5.87,5.99,Moderate risk zone,Infrastructure development in rural areas,FALSE,2695.51,87.73,Increasing,Average,208141.76,TRUE
6814,Village C,41,0.12,10.59,9,Low risk zone,Renovation of public parks,TRUE,1372.83,25.51,Increasing,Average,16697.86,TRUE
5316,Coastal Area J,16,0.16,2.7,0.14,High risk zone,Expansion of public transportation system,FALSE,9556.18,77.2,Stable,Average,236747.45,TRUE
6085,Rural Area G,5,0.46,46.82,3.92,Moderate risk zone,Renovation of public parks,FALSE,7561.03,75.18,Increasing,Average,689969.79,TRUE
5236,Suburb D,33,0.48,95.64,0.55,High risk zone,Infrastructure development in rural areas,TRUE,2662.68,3.71,Increasing,Terrible,752239.44,TRUE
5817,Countryside I,15,0.26,41.45,1.02,Moderate risk zone,Infrastructure development in rural areas,FALSE,1677.28,70.84,Decreasing,Poor,732275.89,FALSE
6021,Hamlet E,5,0.5,48.23,0.41,Low risk zone,Renovation of public parks,FALSE,9701.69,87.13,Decreasing,Good,594544.42,FALSE
6862,Village C,35,0.29,11.59,2.5,Low risk zone,Construction of new schools,FALSE,2567.33,65.28,Increasing,Good,807078.6,FALSE
3353,Urban Area H,22,0.33,32.46,7.47,Low risk zone,Construction of new schools,TRUE,5378.44,36.68,Decreasing,Average,739084.17,FALSE
9669,Hamlet E,18,0.67,69.89,5.12,Moderate risk zone,Infrastructure development in rural areas,TRUE,4301.29,2.08,Stable,Poor,945109.06,TRUE
2360,Rural Area G,29,0.49,96.86,5.07,High risk zone,Infrastructure development in rural areas,FALSE,8652.55,67.95,Increasing,Excellent,643178.49,FALSE
9104,Neighborhood F,19,0.89,23.83,8.33,Moderate risk zone,Renovation of public parks,TRUE,488.35,77.46,Increasing,Excellent,383240.61,FALSE
4630,Town B,10,0.36,2.8,6.04,High risk zone,Expansion of public transportation system,TRUE,5036.45,75.6,Decreasing,Poor,926455.3,TRUE
4762,Suburb D,3,0.34,94.72,8.6,Low risk zone,Infrastructure development in rural areas,FALSE,7564.13,14.76,Stable,Terrible,977939.5,TRUE
6316,Urban Area H,29,0.88,97.58,7.62,Low risk zone,Expansion of public transportation system,FALSE,1394.23,9.07,Stable,Terrible,986756.46,FALSE
2380,Countryside I,49,0.31,69.95,0.19,High risk zone,Expansion of public transportation system,FALSE,9878.82,12.13,Decreasing,Excellent,830618.91,TRUE
9123,Town B,26,0.05,69.11,7.07,Moderate risk zone,Infrastructure development in rural areas,TRUE,1878.57,46.38,Decreasing,Poor,208689.12,TRUE
4788,City A,30,0.41,46.75,2.2,Low risk zone,Renovation of public parks,FALSE,2342.82,61.53,Decreasing,Average,191938.46,TRUE
1359,Neighborhood F,34,0.87,3.25,3.77,Moderate risk zone,Renovation of public parks,TRUE,1807.55,32.96,Decreasing,Good,423457.17,FALSE
1779,Neighborhood F,38,0.2,42.86,9.07,Moderate risk zone,Infrastructure development in rural areas,TRUE,8874.69,68.96,Stable,Average,623674.25,TRUE
7421,Coastal Area J,35,0.66,99.11,0.46,Moderate risk zone,Construction of new schools,TRUE,9945.85,18.28,Stable,Good,552487.9,TRUE
6878,Town B,17,0.85,7.29,8.99,Low risk zone,Construction of new schools,FALSE,9720.28,71.15,Increasing,Average,934934.58,FALSE
2216,Town B,45,0.99,32.92,7.69,High risk zone,Renovation of public parks,FALSE,948.16,30.02,Decreasing,Excellent,64298,TRUE
7010,Village C,21,0.19,88.92,2.79,High risk zone,Construction of new schools,TRUE,8925,85.07,Increasing,Poor,136801.8,FALSE
2499,Village C,3,0.76,80.33,1.97,Low risk zone,Infrastructure development in rural areas,TRUE,1861.41,25.13,Increasing,Excellent,481335.41,FALSE
9969,City A,31,0.17,57.92,8.13,Low risk zone,Infrastructure development in rural areas,FALSE,5907.92,10.65,Decreasing,Poor,310873.54,FALSE
4887,Village C,13,0.04,97.01,9.16,Moderate risk zone,Expansion of public transportation system,FALSE,6380.49,60.26,Stable,Excellent,296049.02,TRUE
1024,Neighborhood F,44,0.38,5.39,9.18,Moderate risk zone,Infrastructure development in rural areas,TRUE,6878.46,26.58,Increasing,Average,347472.33,FALSE
9034,Neighborhood F,30,0.02,80.27,3.98,High risk zone,Expansion of public transportation system,FALSE,565.73,1.47,Increasing,Excellent,452121.65,FALSE
2831,Village C,7,0.77,20.26,8.35,High risk zone,Expansion of public transportation system,FALSE,7753.89,43.45,Decreasing,Good,974687.86,FALSE
6283,Rural Area G,22,0.51,56.99,2.73,High risk zone,Renovation of public parks,FALSE,9385.45,35.27,Decreasing,Poor,986523.16,TRUE
4017,Urban Area H,50,0.53,7.43,7.63,High risk zone,Infrastructure development in rural areas,TRUE,4313.71,87.24,Stable,Terrible,479642.87,TRUE
9993,Suburb D,34,0.26,82.2,9.96,Moderate risk zone,Expansion of public transportation system,TRUE,4901.86,51.35,Increasing,Excellent,737052.62,TRUE
8897,Suburb D,30,0.95,91.73,0.76,Moderate risk zone,Construction of new schools,FALSE,9432.75,15.35,Stable,Poor,959948.56,TRUE
5904,Urban Area H,18,0,45.32,6.11,High risk zone,Construction of new schools,TRUE,2992.37,42.23,Stable,Excellent,473529.21,FALSE
6837,Neighborhood F,45,0.34,26.44,1,Moderate risk zone,Renovation of public parks,TRUE,209.57,98.36,Increasing,Good,875399.34,FALSE
6796,Rural Area G,3,0.79,38.43,0.76,High risk zone,Infrastructure development in rural areas,FALSE,2833.75,29.87,Increasing,Terrible,190260.11,FALSE
9475,Town B,44,0.12,49.72,2.34,High risk zone,Infrastructure development in rural areas,FALSE,2623.92,70.23,Increasing,Average,609835.95,FALSE
3435,Suburb D,37,0.29,85.56,4.3,Moderate risk zone,Expansion of public transportation system,TRUE,7862.25,35.78,Stable,Average,988615.12,TRUE
5600,Rural Area G,17,0.97,95.71,6.26,Moderate risk zone,Infrastructure development in rural areas,TRUE,7141.7,45.49,Stable,Good,94218.88,TRUE
1967,Town B,5,0.73,37.94,9.85,Moderate risk zone,Expansion of public transportation system,TRUE,9309.31,15.6,Stable,Average,371459.96,TRUE
5516,Coastal Area J,44,0.68,18.38,6.33,Moderate risk zone,Infrastructure development in rural areas,FALSE,4875.99,26.59,Stable,Excellent,168561.58,FALSE
9546,Rural Area G,29,0.45,52.68,4.96,Moderate risk zone,Expansion of public transportation system,TRUE,830,10.32,Decreasing,Excellent,193536.17,FALSE
1021,Neighborhood F,11,0.47,81.95,9.69,Moderate risk zone,Renovation of public parks,FALSE,4219.6,68.73,Increasing,Good,856362.97,TRUE
7839,Neighborhood F,31,0.29,69.49,1.06,High risk zone,Expansion of public transportation system,FALSE,1669.85,78.44,Stable,Terrible,672943.87,TRUE
3091,Urban Area H,14,0.91,96.29,4.36,Low risk zone,Infrastructure development in rural areas,FALSE,587.1,3.06,Increasing,Average,633621.82,FALSE
5809,Village C,22,0.43,55.38,8.14,High risk zone,Renovation of public parks,TRUE,7479.62,19.45,Decreasing,Good,888023.11,FALSE
